Sigma(Neff),Spin-0,Spin-½,Spin-1,FORECAST,,,
0.0300,,,,CMB-S4,,,
0.0350,,,,QCD Scalar Threshold,,,
0.0430,,,,SO  FORECAST,,,
0.0390,,,,SO++,,,
0.0305,,,,1 x CHLAT + SO++,,,
0.0314,,,,1 x CHLAT + SO,,,
0.0318,,,,1 x CHLAT x 9 Yr,,,
0.0330,,,,1 x CHLAT,,,
,,,,,,,
0.0140,1.135E+05,,,,,,
0.0145,7.944E+04,,,,,,
0.0150,6.225E+04,,,,,,
0.0155,5.276E+04,,,,,,
0.0160,4.508E+04,,,,,,
0.0165,3.719E+04,,,,,,
0.0170,3.108E+04,,,,,,
0.0175,2.553E+04,,,,,,
0.0180,1.970E+04,,,,,,
0.0185,1.209E+04,,,,,,
0.0190,7.605E+03,,,,,,
0.0195,4.844E+03,,,,,,
0.0200,3.147E+03,,,,,,
0.0205,2.135E+03,,,,,,
0.0210,1.539E+03,,,,,,
0.0215,1.194E+03,,,,,,
0.0220,1.006E+03,,,,,,
0.0225,8.959E+02,,,,,,
0.0230,8.091E+02,,,,,,
0.0235,7.397E+02,,,,,,
0.0240,6.833E+02,2.413E+05,,,,,
0.0245,6.367E+02,1.135E+05,,,,,
0.0250,5.978E+02,9.244E+04,,,,,
0.0255,5.648E+02,7.610E+04,,,,,
0.0260,5.365E+02,6.597E+04,,,,,
0.0265,5.119E+02,5.911E+04,,,,,
0.0270,4.903E+02,5.392E+04,,,,,
0.0275,4.711E+02,4.944E+04,2.018E+05,,,,
0.0280,4.538E+02,4.508E+04,1.135E+05,,,,
0.0285,4.382E+02,4.052E+04,9.516E+04,,,,
0.0290,4.238E+02,3.621E+04,7.944E+04,,% of CMB-S4 Target,,
0.0295,4.104E+02,3.270E+04,6.926E+04,,Spin-0,Spin-½,Spin-1
0.0300,3.980E+02,2.950E+04,6.225E+04,2 x CHLAT,100%,100%,100%
0.0305,3.862E+02,2.634E+04,5.703E+04,1 x CHLAT + SO++,97%,89%,92%
0.0310,3.751E+02,2.308E+04,5.276E+04,,,,
0.0315,3.645E+02,1.970E+04,4.890E+04,1 x CHLAT + SO,92%,67%,79%
0.0320,3.543E+02,1.526E+04,4.508E+04,,,,
0.0325,3.444E+02,1.122E+04,4.111E+04,,,,
0.0330,3.348E+02,8.646E+03,3.719E+04,1 x CHLAT,84%,29%,60%
0.0335,3.256E+02,6.683E+03,3.395E+04,,,,
0.0340,3.165E+02,5.164E+03,3.108E+04,,,,
0.0345,3.078E+02,4.011E+03,2.832E+04,,,,
0.0350,2.995E+02,3.147E+03,2.553E+04,,,,
0.0355,2.917E+02,2.505E+03,2.266E+04,,,,
0.0360,2.844E+02,2.029E+03,1.970E+04,,,,
0.0365,2.776E+02,1.678E+03,1.584E+04,,,,
0.0370,2.714E+02,1.420E+03,1.209E+04,,,,
0.0375,2.657E+02,1.232E+03,9.510E+03,,,,
0.0380,2.604E+02,1.098E+03,7.605E+03,,,,
0.0385,2.557E+02,1.006E+03,6.065E+03,,,,
0.0390,2.515E+02,9.398E+02,4.844E+03,SO++,63%,3%,8%
0.0395,2.477E+02,8.822E+02,3.889E+03,,,,
0.0400,2.441E+02,8.319E+02,3.147E+03,,,,
0.0405,2.406E+02,7.877E+02,2.575E+03,,,,
0.0410,2.374E+02,7.488E+02,2.135E+03,,,,
0.0415,2.343E+02,7.141E+02,1.797E+03,,,,
0.0420,2.313E+02,6.833E+02,1.539E+03,,,,
0.0425,2.285E+02,6.556E+02,1.343E+03,,,,
0.0430,2.259E+02,6.308E+02,1.194E+03,SO,57%,2%,2%
0.0435,2.234E+02,6.083E+02,1.085E+03,,,,
0.0440,2.209E+02,5.878E+02,1.006E+03,,,,
0.0445,2.186E+02,5.692E+02,9.476E+02,,,,
0.0450,2.164E+02,5.522E+02,8.959E+02,,,,
0.0455,2.143E+02,5.365E+02,8.500E+02,,,,
0.0460,2.122E+02,5.221E+02,8.091E+02,,,,
0.0465,2.103E+02,5.087E+02,7.726E+02,,,,
0.0470,2.084E+02,4.962E+02,7.397E+02,,,,
0.0475,2.066E+02,4.846E+02,7.101E+02,,,,
0.0480,2.049E+02,4.737E+02,6.833E+02,,,,
0.0485,2.032E+02,4.635E+02,6.589E+02,,,,
0.0490,2.016E+02,4.538E+02,6.367E+02,,,,
