Years,DetYr,A4/ScaledDelensing,A7/ScaledDelensing,,,,,,,,,,,,,,,A4/FixedDelensing,A7/FixedDelensing,,SPO-Years
0.1,2.81E+04,9.67E-03,1.03E-02,,,,,,,,,,,,,,,8.40E-03,9.05E-03,,0.55
0.2,5.62E+04,5.57E-03,6.20E-03,,,,,,,,,,,,,,,4.71E-03,5.38E-03,,1.11
0.3,8.43E+04,3.99E-03,4.56E-03,,,,,,,,,,,,,,,3.31E-03,3.92E-03,,1.66
0.4,1.12E+05,3.14E-03,3.65E-03,,,,,,,,,,,,,,,2.58E-03,3.11E-03,,2.22
0.5,1.40E+05,2.61E-03,3.07E-03,,,,,,,,,,,,,,,2.12E-03,2.60E-03,,2.77
0.6,1.69E+05,2.25E-03,2.67E-03,,,,,,,,,,,,,,,1.81E-03,2.25E-03,,3.33
0.7,1.97E+05,1.98E-03,2.37E-03,,,,,,,,,,,,,,,1.59E-03,1.99E-03,,3.88
0.8,2.25E+05,1.78E-03,2.13E-03,,,,,,,,,,,,,,,1.42E-03,1.79E-03,,4.44
0.9,2.53E+05,1.62E-03,1.95E-03,,,,,,,,,,,,,,,1.29E-03,1.64E-03,,4.99
1.0,2.81E+05,1.49E-03,1.80E-03,,,,,,,,,,,,,,,1.18E-03,1.51E-03,,5.55
1.1,3.09E+05,1.38E-03,1.68E-03,,,,,,,,,,,,,,,1.10E-03,1.41E-03,,6.10
1.2,3.37E+05,1.29E-03,1.57E-03,,,,,,,,,,,,,,,1.02E-03,1.32E-03,,6.66
1.3,3.65E+05,1.21E-03,1.48E-03,,,,,,,,,,,,,,,9.62E-04,1.25E-03,,7.21
1.4,3.93E+05,1.14E-03,1.40E-03,,,,,,,,,,,,,,,9.10E-04,1.19E-03,,7.76
1.5,4.21E+05,1.08E-03,1.33E-03,,,,,,,,,,,,,,,8.64E-04,1.13E-03,,8.32
1.6,4.49E+05,1.03E-03,1.27E-03,,,,,,,,,,,,,,,8.24E-04,1.08E-03,,8.87
1.7,4.78E+05,9.82E-04,1.22E-03,,,,,,,,,,,,,,,7.88E-04,1.04E-03,,9.43
1.8,5.06E+05,9.40E-04,1.17E-03,,,,,,,,,,,,,,,7.57E-04,1.00E-03,,9.98
1.9,5.34E+05,9.03E-04,1.13E-03,,,,,,,,,,,,,,,7.29E-04,9.66E-04,,10.54
2.0,5.62E+05,8.68E-04,1.09E-03,,,,,,,,,,,,,,,7.03E-04,9.35E-04,,11.09
2.1,5.90E+05,8.37E-04,1.05E-03,,,,,,,,,,,,,,,6.80E-04,9.06E-04,,11.65
2.2,6.18E+05,8.09E-04,1.02E-03,,,,,,,,,,,,,,,6.60E-04,8.80E-04,,12.20
2.3,6.46E+05,7.83E-04,9.85E-04,,,,,,,,,,,,,,,6.41E-04,8.57E-04,,12.76
2.4,6.74E+05,7.58E-04,9.57E-04,,,,,,,,,,,,,,,6.23E-04,8.35E-04,,13.31
2.5,7.02E+05,7.36E-04,9.31E-04,,,,,,,,,,,,,,,6.07E-04,8.15E-04,,13.87
2.6,7.30E+05,7.15E-04,9.07E-04,,,,,,,,,,,,,,,5.92E-04,7.96E-04,,14.42
2.7,7.58E+05,6.96E-04,8.84E-04,,,,,,,,,,,,,,,5.79E-04,7.79E-04,,14.97
2.8,7.87E+05,6.78E-04,8.63E-04,,,,,,,,,,,,,,,5.66E-04,7.63E-04,,15.53
2.9,8.15E+05,6.61E-04,8.43E-04,,,,,,,,,,,,,,,5.54E-04,7.48E-04,,16.08
3.0,8.43E+05,6.45E-04,8.25E-04,,,,,,,,,,,,,,,5.43E-04,7.34E-04,,16.64
3.1,8.71E+05,6.30E-04,8.07E-04,,,,,,,,,,,,,,,5.33E-04,7.20E-04,,17.19
3.2,8.99E+05,6.16E-04,7.91E-04,,,,,,,,,,,,,,,5.23E-04,7.08E-04,,17.75
3.3,9.27E+05,6.02E-04,7.75E-04,,,,,,,,,,,,,,,5.14E-04,6.96E-04,,18.30
3.4,9.55E+05,5.90E-04,7.60E-04,,,,,,,,,,,,,,,5.05E-04,6.85E-04,,18.86
3.5,9.83E+05,5.78E-04,7.46E-04,,,,,,,,,,,,,,,4.97E-04,6.75E-04,,19.41
3.6,1.01E+06,5.66E-04,7.32E-04,,,,,,,,,,,,,,,4.90E-04,6.65E-04,,19.97
3.7,1.04E+06,5.55E-04,7.20E-04,,,,,,,,,,,,,,,4.83E-04,6.55E-04,,20.52
3.8,1.07E+06,5.45E-04,7.08E-04,,,,,,,,,,,,,,,4.76E-04,6.46E-04,,21.08
3.9,1.10E+06,5.35E-04,6.96E-04,,,,,,,,,,,,,,,4.69E-04,6.37E-04,,21.63
4.0,1.12E+06,5.26E-04,6.85E-04,,,,,,,,,,,,,,,4.63E-04,6.29E-04,,22.18
4.1,1.15E+06,5.17E-04,6.74E-04,,,,,,,,,,,,,,,4.57E-04,6.21E-04,,22.74
4.2,1.18E+06,5.09E-04,6.64E-04,,,,,,,,,,,,,,,4.52E-04,6.14E-04,,23.29
4.3,1.21E+06,5.00E-04,6.54E-04,,,,,,,,,,,,,,,4.46E-04,6.07E-04,,23.85
4.4,1.24E+06,4.92E-04,6.45E-04,,,,,,,,,,,,,,,4.41E-04,6.00E-04,,24.40
4.5,1.26E+06,4.85E-04,6.36E-04,,,,,,,,,,,,,,,4.37E-04,5.93E-04,,24.96
4.6,1.29E+06,4.78E-04,6.27E-04,,,,,,,,,,,,,,,4.32E-04,5.87E-04,,25.51
4.7,1.32E+06,4.71E-04,6.19E-04,,,,,,,,,,,,,,,4.28E-04,5.81E-04,,26.07
4.8,1.35E+06,4.64E-04,6.11E-04,,,,,,,,,,,,,,,4.23E-04,5.75E-04,,26.62
4.9,1.38E+06,4.58E-04,6.03E-04,,,,,,,,,,,,,,,4.19E-04,5.69E-04,,27.18
